QKEY,INTERVIEW_START_W153,INTERVIEW_END_W153,DEVICE_TYPE_W153,SVYMODE_W153,LANG_W153,FORM_W153,X_NONINTERNET_W153,PRZCMPGN_W153,MATTERS_W153,VOTEGEN24_W153,VOTEGEN24_LEAN_W153,VOTEGEN2_TRUMP_W153,VOTEGEN2_HARRIS_W153,VOTESTRONG_W153,DTFORAGNST_W153,KHFORAGNST_W153,SATISPRESCAND_W153,TRUMP_FEEL_PRD_W153,TRUMP_FEEL_UNE_W153,TRUMP_FEEL_ANGR_W153,TRUMP_FEEL_HPF_W153,HARRIS_FEEL_PRD_W153,HARRIS_FEEL_UNE_W153,HARRIS_FEEL_ANGR_W153,HARRIS_FEEL_HPF_W153,WINCLEAR_W153,WINCLEARWHO_W153,WINCLEARWHO2_W153,ISSUEPRES_ECON_W153,ISSUEPRES_HEALTH_W153,ISSUEPRES_GUN_W153,ISSUEPRES_SCOTUS_W153,ISSUEPRES_FP_W153,ISSUEPRES_IMM_W153,ISSUEPRES_ABTN_W153,ISSUEPRES_CLIM_W153,ISSUEPRES_RCE_W153,ISSUEPRES_CRIM_W153,CONVOP_W153,CONSUPRT_TRUMP_W153,CONSUPRT_HARRIS_W153,CONSUPRT_OTHER_W153,CONSUPRT_UNDEC_W153,CAMPISSUE_W153,NEXTCOMP_W153,DTCONF_MON_W153,DTCONF_ECON_W153,DTCONF_ABCN_W153,DTCONF_CRIM_W153,DTCONF_CLSR_W153,DTCONF_FRGN_W153,DTCONF_RACE_W153,DTCONF_HCP_W153,DTCONF_SCT_W153,DTCONF_IMMI_W153,KHCONF_MON_W153,KHCONF_ECON_W153,KHCONF_ABCN_W153,KHCONF_CRIM_W153,KHCONF_CLSR_W153,KHCONF_FRGN_W153,KHCONF_RACE_W153,KHCONF_HCP_W153,KHCONF_SCT_W153,KHCONF_IMMI_W153,ELCTCOLLB_W153,TRUMPDESC_HNST_W153,TRUMPDESC_ORD_W153,TRUMPDESC_WI_W153,TRUMPDESC_TEMP_W153,TRUMPDESC_DWN_W153,TRUMPDESC_GS_W153,TRUMPDESC_MNSHRP_W153,TRUMPDESC_MDL_W153,TRUMPDESC_STND_W153,HARRISDESC_HNST_W153,HARRISDESC_ORD_W153,HARRISDESC_WI_W153,HARRISDESC_TEMP_W153,HARRISDESC_DWN_W153,HARRISDESC_GS_W153,HARRISDESC_MNSHRP_W153,HARRISDESC_MDL_W153,HARRISDESC_STND_W153,CAMPCRIT_KH_W153,CAMPCRIT_DT_W153,EVAL_TVS_W153,EVAL_BVS_W153,ECON1_W153,ECON1B_W153,ECONCONC_PRICE_W153,ECONCONC_UNEM_W153,ECONCONC_REAL_W153,ECONCONC_STCK_W153,VTSECTECH1_W153,VTSECTECH2_W153,ELECT_AI1_W153,ELECT_AI2_W153,DT_GRPS_BLCK_W153,DT_GRPS_WHT_W153,DT_GRPS_HS_W153,DT_GRPS_AS_W153,DT_GRPS_WLTH_W153,DT_GRPS_POOR_W153,DT_GRPS_WM_W153,DT_GRPS_MN_W153,DT_GRPS_UM_W153,DT_GRPS_RRL_W153,DT_GRPS_CTS_W153,DT_GRPS_VT_W153,KH_GRPS_BLCK_W153,KH_GRPS_WHT_W153,KH_GRPS_HS_W153,KH_GRPS_AS_W153,KH_GRPS_WLTH_W153,KH_GRPS_POOR_W153,KH_GRPS_WM_W153,KH_GRPS_MN_W153,KH_GRPS_UM_W153,KH_GRPS_RRL_W153,KH_GRPS_CTS_W153,KH_GRPS_VT_W153,VPQUALREP_W153,VPQUALDEM_W153,FAVPOL_VANCE_W153,FAVPOL_WALZ_W153,PRESACTACPT_KH_FEDWRK_W153,PRESACTACPT_KH_PRDN_W153,PRESACTACPT_KH_INVSTG_W153,PRESACTACPT_KH_EO_W153,PRESACTACPT_DT_FEDWRK_W153,PRESACTACPT_DT_PRDN_W153,PRESACTACPT_DT_INVSTG_W153,PRESACTACPT_DT_EO_W153,TRUMPCHAR_GEND_W153,TRUMPCHAR_RACE_W153,TRUMPCHAR_AGE_W153,HARCHAR_RACE_W153,HARCHAR_GEND_W153,HARCHAR_AGE_W153,DTINDICTHRD_W153,DTINDICTLGL_W153,DTCRIM_NYC_W153,SEAS_W153,VACA_W153,VACA2_W153,SNSUSE_W153,ELECTFTGSNSINT_W153,TALKDISASNSINT_W153,TALKCMNSNSINT_W153,HORSE_W153,VALVOTE2016_W78,VOTECHOICE2016_VAL_W78,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_VALVOTE2020,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W78_W153,WEIGHT_W153
104210,30-Aug-2024 11:50:07,30-Aug-2024 11:56:42,1,1,9,1,2,3,1,2,,,1,2,,1,4,5,1,3,5,3,5,4,3,2,,2,2,1,2,1,2,3,1,1,1,3,2,,,,,1,2,4,4,4,4,4,,,,,,4,2,1,1,2,,,,,,1,4,4,4,4,4,,,,,2,2,1,2,2,,,,,,,2,,3,2,1,1,1,4,1,4,,,2,3,2,2,3,2,,,,,,,3,3,3,3,3,3,,,,,,,2,1,,,4,4,4,2,4,4,4,2,3,3,2,3,3,1,3,,2,3,2,5,2,,,,2,1,2,1,1,2,1,2,2,3,2,2,,1,1,1,1,2,12,,3,6,2,,1,,2,4,1,1,1,5,2,2,1,2.02514821797391,1.1864968333912091
104491,28-Aug-2024 09:53:39,28-Aug-2024 10:14:39,3,1,9,1,2,1,1,2,,,1,1,,1,1,5,1,1,5,1,5,5,1,1,2,,1,1,1,1,1,2,1,1,1,1,1,,,,,1,1,4,4,4,4,4,,,,,,1,1,1,1,1,,,,,,1,4,4,4,4,4,,,,,1,1,1,1,1,,,,,,,2,,2,1,1,2,1,2,1,3,,,2,3,2,2,1,2,,,,,,,1,1,1,1,3,1,,,,,,,2,1,,,2,4,3,1,4,4,4,4,3,3,2,1,1,1,2,,1,1,2,5,1,3,2,1,2,1,2,1,4,9,2,4,2,2,3,2,,4,1,1,4,5,9,,3,6,2,,1,,2,4,1,1,3,4,2,2,2,0.6158993953244144,0.6471541277483692
104689,27-Aug-2024 21:27:43,27-Aug-2024 21:43:53,1,1,9,2,2,1,1,2,,,1,1,,1,2,5,1,1,5,1,5,5,1,2,,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,,1,,,,,,4,4,4,4,4,,,,,,1,1,1,1,2,1,,,,,,4,4,4,4,,,,,,1,1,1,1,2,1,,,3,1,2,3,2,3,,,2,1,,,,,,,3,3,3,3,3,3,,,,,,,1,3,1,1,1,1,,,4,1,3,3,3,1,2,2,2,1,3,3,2,1,1,1,2,1,,2,1,1,1,3,1,2,2,1,2,2,2,3,3,4,2,3,2,2,,1,1,1,1,5,1,1,1,2,2,,1,,2,3,1,1,4,3,1,1,1,0.30105725480507955,0.2627151646668389
104727,27-Aug-2024 20:39:51,27-Aug-2024 20:48:07,3,1,9,1,2,1,1,1,,1,,2,1,,2,1,5,5,1,5,1,1,5,2,,1,1,2,1,1,1,1,3,99,99,3,3,,,,,1,1,2,1,1,1,2,,,,,,4,4,4,4,4,,,,,,1,1,1,1,2,2,,,,,4,4,4,4,4,,,,,,,,2,3,1,1,1,1,1,1,3,,,1,1,1,1,1,1,,,,,,,2,2,2,2,2,2,,,,,,,1,2,,,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,,2,2,1,3,1,1,1,1,1,1,1,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,12,,3,6,1,,2,,1,1,1,1,99,2,2,2,99,1.4149055159288206,1.3170478207063456
106590,29-Aug-2024 18:33:27,29-Aug-2024 18:43:02,1,1,9,2,2,1,1,1,,1,,2,2,,4,3,5,5,3,5,1,1,5,2,,1,1,2,3,1,1,1,1,2,2,1,3,1,1,2,2,,1,,,,,,1,2,1,2,1,,,,,,4,2,4,4,4,2,,,,,,2,1,3,1,,,,,,1,3,4,4,2,2,,,4,1,2,2,1,1,,,2,1,,,,,,,1,1,1,1,1,1,,,,,,,2,2,2,2,2,2,,,2,2,99,4,4,4,3,3,4,3,3,3,3,2,2,3,4,3,,1,1,1,1,3,1,1,1,1,1,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,12,,3,5,1,,2,,1,2,1,1,8,3,2,1,2,0.378866019555974,0.479542340970674
107612,29-Aug-2024 08:05:11,29-Aug-2024 08:30:55,1,1,9,2,2,4,1,2,,,1,1,,2,2,5,1,2,5,1,5,5,1,2,,2,1,1,2,2,2,2,2,1,1,1,3,2,1,2,1,,1,,,,,,4,4,4,4,4,,,,,,1,1,1,1,1,99,,,,,,4,4,4,1,,,,,,1,1,1,1,2,1,,,4,3,1,1,1,1,,,4,6,,,,,,,2,2,2,2,2,2,,,,,,,3,3,3,1,1,1,,,5,5,4,4,4,99,4,4,4,99,3,3,3,3,1,1,2,1,,1,1,3,1,3,99,99,2,1,2,1,3,7,2,4,2,2,3,2,,1,2,2,1,1,1,2,1,2,2,,1,,2,4,1,1,2,4,2,1,1,0.3456444758383033,0.31744533890755816
107668,28-Aug-2024 10:48:07,28-Aug-2024 10:58:20,1,1,9,2,2,1,1,2,,,2,2,,2,3,5,1,2,5,3,3,4,3,2,,2,1,2,3,2,1,1,1,2,2,1,2,1,2,2,1,,1,,,,,,4,4,3,4,2,,,,,,3,2,2,2,3,2,,,,,,4,4,4,3,,,,,,2,2,1,2,2,1,,,3,3,1,2,3,2,,,4,2,,,,,,,2,1,2,2,3,3,,,,,,,1,3,3,3,3,2,,,4,2,4,4,4,3,4,4,4,3,3,1,2,1,2,1,3,1,,3,1,3,1,3,2,1,2,1,1,2,3,7,3,3,2,1,5,2,,1,1,1,1,6,12,,3,6,1,,2,,1,2,1,1,9,3,1,1,3,0.2684757563120053,0.3187173359516644
108348,27-Aug-2024 17:54:54,27-Aug-2024 18:05:33,3,1,9,1,2,2,1,1,,1,,2,1,,3,3,4,4,3,5,1,1,5,2,,1,1,3,1,2,1,1,1,2,4,1,3,,,,,1,1,3,2,2,2,3,,,,,,4,4,4,4,4,,,,,,1,2,2,2,2,2,,,,,4,3,3,3,4,,,,,,,,2,3,2,1,2,1,2,1,3,,,3,3,3,3,3,3,,,,,,,3,2,3,3,3,2,,,,,,,1,2,,,4,4,4,4,4,4,4,4,1,1,3,3,2,3,4,,2,1,2,3,1,2,2,2,1,1,1,1,4,8,1,3,2,2,3,2,,1,1,1,1,6,1,1,1,2,3,1,,2,1,1,1,1,3,2,1,2,2,0.5819553030376978,0.5886626784328923
108435,27-Aug-2024 18:18:53,27-Aug-2024 18:34:49,1,1,9,1,2,2,1,1,,1,,1,1,,3,1,5,5,2,5,1,2,5,2,,1,1,3,2,2,1,2,3,3,2,1,2,,,,,1,2,2,1,2,1,2,,,,,,4,4,4,4,4,,,,,,2,1,1,1,2,1,,,,,3,4,3,3,4,,,,,,,,2,4,2,1,3,2,3,1,3,,,1,3,1,1,3,1,,,,,,,2,2,2,2,2,2,,,,,,,1,3,,,3,3,3,3,3,3,3,3,3,3,2,1,1,1,2,,2,3,1,4,2,,,,1,1,1,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,2,,1,1,1,1,9,2,2,2,3,0.5785780487035703,0.6594195503521635
108592,27-Aug-2024 15:04:54,27-Aug-2024 15:32:33,3,1,9,1,2,1,1,2,,,1,1,,1,1,5,1,1,5,1,5,5,1,2,,2,1,1,1,1,1,1,1,1,1,1,1,,,,,2,1,4,4,4,4,4,,,,,,1,1,1,1,1,,,,,,1,4,4,4,4,4,,,,,1,1,1,1,1,,,,,,,2,,3,1,1,2,1,3,1,3,,,2,2,2,2,1,2,,,,,,,1,1,1,1,3,1,,,,,,,2,1,,,4,4,4,2,4,4,4,4,1,1,2,1,1,3,1,,1,3,1,1,1,3,1,2,2,1,2,1,2,3,2,4,2,2,4,2,,1,2,2,1,3,1,2,1,2,2,,1,,2,4,1,2,5,4,2,2,2,0.5119360815498024,0.5819020498876235
110041,27-Aug-2024 14:34:43,27-Aug-2024 15:03:59,3,1,9,1,2,1,1,1,,1,,1,1,,4,2,5,5,1,5,1,3,5,2,,1,1,3,1,1,1,1,2,4,4,1,1,,,,,2,2,2,1,1,1,4,,,,,,4,4,4,4,4,,,,,,2,1,1,1,2,2,,,,,4,3,4,3,3,,,,,,,,2,3,1,1,1,3,3,1,4,,,1,1,1,1,3,1,,,,,,,2,3,2,3,3,2,,,,,,,1,2,,,4,4,4,4,4,4,4,2,3,3,3,3,3,3,1,,2,2,2,5,2,,,,1,1,1,1,3,5,2,4,1,1,6,2,,1,1,1,1,5,2,2,2,5,1,,1,,1,1,1,1,9,2,2,1,3,0.28017573353957387,0.33368188555132766
110129,29-Aug-2024 12:23:10,29-Aug-2024 12:36:51,1,1,9,1,2,2,4,4,1,,,,2,,4,4,3,3,4,5,2,2,5,2,,2,2,1,1,1,2,1,1,2,2,1,3,,,,,1,1,3,2,1,2,3,,,,,,3,3,4,3,4,,,,,,1,3,2,2,4,3,,,,,4,3,3,2,3,,,,,,,,2,3,2,1,1,1,2,1,3,,,2,3,3,3,3,1,,,,,,,3,1,3,3,1,2,,,,,,,2,2,,,3,4,3,4,3,4,3,4,3,3,3,3,3,1,4,,3,1,1,4,1,2,2,2,1,1,1,1,2,4,2,4,2,1,5,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,1,4,2,2,1,2,0.3473813787417219,0.3933002965392395
110353,31-Aug-2024 18:17:47,31-Aug-2024 18:33:17,3,1,9,1,2,1,1,1,,1,,2,2,,3,4,3,4,3,5,2,4,5,2,,1,1,1,2,1,2,1,1,2,3,1,2,,,,,1,1,2,1,1,2,2,,,,,,3,3,4,4,3,,,,,,1,2,1,2,2,2,,,,,3,3,3,2,2,,,,,,,,2,3,3,1,1,1,2,1,2,,,3,1,3,3,1,1,,,,,,,2,2,2,2,2,2,,,,,,,1,3,,,3,4,3,4,2,3,2,2,3,3,3,1,3,3,3,,2,1,2,3,1,2,1,1,1,,,1,2,3,3,4,2,2,3,2,,1,1,1,1,1,1,1,1,2,1,,2,,1,2,1,2,1,3,2,2,1,,0.5935218874700291
111646,30-Aug-2024 02:26:56,30-Aug-2024 02:45:00,1,1,9,1,2,1,1,2,,,1,1,,1,2,5,1,1,5,2,5,5,2,2,,2,2,1,1,1,1,3,3,1,2,2,2,,,,,1,1,4,4,4,4,4,,,,,,2,1,2,1,2,,,,,,1,4,4,3,4,3,,,,,2,1,1,1,1,,,,,,,2,,2,3,2,2,1,2,1,3,,,3,3,2,2,1,2,,,,,,,1,3,1,1,3,1,,,,,,,3,1,,,3,3,3,2,4,3,4,4,3,3,2,2,2,3,2,,3,3,1,1,1,2,2,2,2,1,2,1,4,8,2,4,2,1,5,2,,99,1,1,99,1,3,2,4,2,2,,1,,2,3,1,1,9,3,2,1,2,0.31928063704968446,0.35704021210781656
